Temperatura,Fitness promedio,Mejor fitness poblacion,Mejor fitness global,Duracion (s)
1000,2.09131,2.53457,2.53457,0.006698
950,2.1944,2.53457,2.53457,0.006024
902.5,2.21109,2.39168,2.53457,0.006079
857.375,2.1996,2.39168,2.53457,0.006253
814.506,2.31311,2.53457,2.53457,0.006278
773.781,2.2549,2.53457,2.53457,0.007131
735.092,2.25286,2.53457,2.53457,0.006709
698.337,2.22605,2.39168,2.53457,0.007111
663.42,2.34299,2.39168,2.53457,0.006705
630.249,2.29413,2.39168,2.53457,0.006475
598.737,2.33322,2.39168,2.53457,0.006648
568.8,2.32353,2.39168,2.53457,0.006918
540.36,2.28685,2.39168,2.53457,0.008228
513.342,2.33187,2.39168,2.53457,0.006757
487.675,2.25828,2.39168,2.53457,0.007724
463.291,2.3176,2.53457,2.53457,0.007134
440.127,2.24769,2.53457,2.53457,0.006601
418.12,2.26389,2.53457,2.53457,0.006482
397.214,2.25026,2.53457,2.53457,0.006089
377.354,2.28804,2.39168,2.53457,0.007447
358.486,2.31771,2.39168,2.53457,0.007372
340.562,2.27595,2.53457,2.53457,0.007228
323.534,2.24101,2.53457,2.53457,0.006259
307.357,2.2993,2.53457,2.53457,0.007761
291.989,2.2686,2.53457,2.53457,0.006156
277.39,2.29349,2.39168,2.53457,0.00768
263.52,2.31117,2.39168,2.53457,0.006699
250.344,2.36178,2.39168,2.53457,0.008089
237.827,2.28901,2.39168,2.53457,0.006392
225.936,2.30273,2.39168,2.53457,0.007852
214.639,2.23305,2.39168,2.53457,0.009818
203.907,2.27285,2.39168,2.53457,0.008185
193.711,2.30389,2.39168,2.53457,0.006774
184.026,2.28359,2.39168,2.53457,0.007096
174.825,2.21575,2.39168,2.53457,0.007311
166.083,2.26125,2.53457,2.53457,0.00694
157.779,2.2632,2.53457,2.53457,0.006842
149.89,2.23735,2.53457,2.53457,0.00649
142.396,2.1455,2.53457,2.53457,0.006883
135.276,2.13704,2.53457,2.53457,0.006547
128.512,2.2872,2.53457,2.53457,0.008166
122.087,2.26167,2.53457,2.53457,0.006628
115.982,2.30074,2.53457,2.53457,0.006736
110.183,2.14794,2.53457,2.53457,0.007494
104.674,2.16894,2.53457,2.53457,0.006584
99.4403,2.26724,2.53457,2.53457,0.006941
94.4682,2.33212,2.39168,2.53457,0.005957
89.7448,2.32394,2.39168,2.53457,0.006148
85.2576,2.3,2.39168,2.53457,0.007541
80.9947,2.25601,2.39168,2.53457,0.006889
76.945,2.30581,2.39168,2.53457,0.006963
73.0977,2.24432,2.39168,2.53457,0.007834
69.4428,2.28275,2.39168,2.53457,0.007043
65.9707,2.26497,2.39168,2.53457,0.006078
62.6722,2.27518,2.39168,2.53457,0.007735
59.5386,2.34166,2.39168,2.53457,0.006502
56.5616,2.28832,2.53457,2.53457,0.006595
53.7335,2.19418,2.53457,2.53457,0.006398
51.0469,2.33273,2.53457,2.53457,0.007802
48.4945,2.24562,2.53457,2.53457,0.006949
46.0698,2.3351,2.39168,2.53457,0.007274
43.7663,2.31426,2.53457,2.53457,0.007037
41.578,2.27007,2.53457,2.53457,0.006441
39.4991,2.1534,2.53457,2.53457,0.006354
37.5241,2.1804,2.53457,2.53457,0.005542
